provinsi,daerah,jenis,tahun,peng,peng_asli,cluster
SUMATERA UTARA,PERDESAAN,NONMAKANAN,2021,383019.0,383019.0,0
SUMATERA UTARA,PERDESAAN,NONMAKANAN,2022,404273.0,404273.0,0
SUMATERA UTARA,PERDESAAN,TOTAL,2007,281752.0,281752.0,0
SUMATERA UTARA,PERDESAAN,TOTAL,2008,318276.0,318276.0,0
SUMATERA UTARA,PERDESAAN,TOTAL,2009,346793.0,346793.0,0
SUMATERA UTARA,PERDESAAN,TOTAL,2010,399267.0,399267.0,0
SUMATERA UTARA,PERDESAAN,TOTAL,2011,494174.0,494174.0,0
SUMATERA UTARA,PERDESAAN,TOTAL,2012,534713.0,534713.0,0
SUMATERA UTARA,PERDESAAN,TOTAL,2013,570785.0,570785.0,0
SUMATERA UTARA,PERDESAAN,TOTAL,2014,604073.0,604073.0,0
SUMATERA UTARA,PERDESAAN,TOTAL,2015,682494.0,682494.0,1
SUMATERA UTARA,PERDESAAN,TOTAL,2016,738234.0,738234.0,1
SUMATERA UTARA,PERDESAAN,TOTAL,2017,768718.0,768718.0,1
SUMATERA UTARA,PERDESAAN,TOTAL,2018,857000.0,857000.0,1
SUMATERA UTARA,PERDESAAN,TOTAL,2019,902788.0,902788.0,1
SUMATERA UTARA,PERDESAAN,TOTAL,2020,935035.0,935035.0,1
SUMATERA UTARA,PERDESAAN,TOTAL,2021,962689.0,962689.0,1
SUMATERA UTARA,PERDESAAN,TOTAL,2022,1035638.0,1035638.0,1
SUMATERA UTARA,PERKOTAAN,MAKANAN,2007,207605.99999999994,207606.0,0
SUMATERA UTARA,PERKOTAAN,MAKANAN,2008,227521.0,227521.0,0
SUMATERA UTARA,PERKOTAAN,MAKANAN,2009,257661.0,257661.0,0
SUMATERA UTARA,PERKOTAAN,MAKANAN,2010,288594.0,288594.0,0
SUMATERA UTARA,PERKOTAAN,MAKANAN,2011,324392.0,324392.0,0
SUMATERA UTARA,PERKOTAAN,MAKANAN,2012,349032.0,349032.0,0
SUMATERA UTARA,PERKOTAAN,MAKANAN,2013,363478.0,363478.0,0
SUMATERA UTARA,PERKOTAAN,MAKANAN,2014,416319.0,416319.0,0
SUMATERA UTARA,PERKOTAAN,MAKANAN,2015,416073.0,416073.0,0
SUMATERA UTARA,PERKOTAAN,MAKANAN,2016,493141.0,493141.0,0
SUMATERA UTARA,PERKOTAAN,MAKANAN,2017,553690.0,553690.0,0
SUMATERA UTARA,PERKOTAAN,MAKANAN,2018,586199.0,586199.0,0
SUMATERA UTARA,PERKOTAAN,MAKANAN,2019,612136.0,612136.0,0
SUMATERA UTARA,PERKOTAAN,MAKANAN,2020,643456.0,643456.0,0
SUMATERA UTARA,PERKOTAAN,MAKANAN,2021,630458.0,630458.0,0
SUMATERA UTARA,PERKOTAAN,MAKANAN,2022,689463.0,689463.0,1
SUMATERA UTARA,PERKOTAAN,NONMAKANAN,2007,225606.0,225606.0,0
SUMATERA UTARA,PERKOTAAN,NONMAKANAN,2008,250148.0,250148.0,0
SUMATERA UTARA,PERKOTAAN,NONMAKANAN,2009,274781.0,274781.0,0
SUMATERA UTARA,PERKOTAAN,NONMAKANAN,2010,328487.0,328487.0,0
SUMATERA UTARA,PERKOTAAN,NONMAKANAN,2011,312932.0,312932.0,0
SUMATERA UTARA,PERKOTAAN,NONMAKANAN,2012,316579.0,316579.0,0
SUMATERA UTARA,PERKOTAAN,NONMAKANAN,2013,380777.0,380777.0,0
SUMATERA UTARA,PERKOTAAN,NONMAKANAN,2014,381027.0,381027.0,0
SUMATERA UTARA,PERKOTAAN,NONMAKANAN,2015,453609.0,453609.0,0
SUMATERA UTARA,PERKOTAAN,NONMAKANAN,2016,474404.0,474404.0,0
SUMATERA UTARA,PERKOTAAN,NONMAKANAN,2017,491793.0,491793.0,0
SUMATERA UTARA,PERKOTAAN,NONMAKANAN,2018,544628.0,544628.0,0
SUMATERA UTARA,PERKOTAAN,NONMAKANAN,2019,587371.0,587371.0,0
SUMATERA UTARA,PERKOTAAN,NONMAKANAN,2020,639799.0,639799.0,0
SUMATERA UTARA,PERKOTAAN,NONMAKANAN,2021,657135.0,657135.0,1
SUMATERA UTARA,PERKOTAAN,NONMAKANAN,2022,668871.0,668871.0,1
SUMATERA UTARA,PERKOTAAN,TOTAL,2007,433212.0,433212.0,0
SUMATERA UTARA,PERKOTAAN,TOTAL,2008,477669.0,477669.0,0
SUMATERA UTARA,PERKOTAAN,TOTAL,2009,532442.0,532442.0,0
SUMATERA UTARA,PERKOTAAN,TOTAL,2010,617081.0,617081.0,0
SUMATERA UTARA,PERKOTAAN,TOTAL,2011,637325.0,637325.0,0
SUMATERA UTARA,PERKOTAAN,TOTAL,2012,665611.0,665611.0,1
SUMATERA UTARA,PERKOTAAN,TOTAL,2013,744255.0,744255.0,1
SUMATERA UTARA,PERKOTAAN,TOTAL,2014,797346.0,797346.0,1
SUMATERA UTARA,PERKOTAAN,TOTAL,2015,869682.0,869682.0,1
SUMATERA UTARA,PERKOTAAN,TOTAL,2016,967546.0,967546.0,1
SUMATERA UTARA,PERKOTAAN,TOTAL,2017,1045483.0,1045483.0,1
SUMATERA UTARA,PERKOTAAN,TOTAL,2018,1130828.0,1130828.0,1
SUMATERA UTARA,PERKOTAAN,TOTAL,2019,1199507.0,1199507.0,1
SUMATERA UTARA,PERKOTAAN,TOTAL,2020,1283255.0,1283255.0,1
SUMATERA UTARA,PERKOTAAN,TOTAL,2021,1287593.0,1287593.0,1
SUMATERA UTARA,PERKOTAAN,TOTAL,2022,1358335.0,1358335.0,1
SUMATERA UTARA,PERDESAANPERKOTAAN,MAKANAN,2011,316343.0,316343.0,0
SUMATERA UTARA,PERDESAANPERKOTAAN,MAKANAN,2012,344467.0,344467.0,0
SUMATERA UTARA,PERDESAANPERKOTAAN,MAKANAN,2013,363363.0,363363.0,0
SUMATERA UTARA,PERDESAANPERKOTAAN,MAKANAN,2014,398932.0,398932.0,0
SUMATERA UTARA,PERDESAANPERKOTAAN,MAKANAN,2015,414566.0,414566.0,0
SUMATERA UTARA,PERDESAANPERKOTAAN,MAKANAN,2016,472220.0,472220.0,0
SUMATERA UTARA,PERDESAANPERKOTAAN,MAKANAN,2017,522766.0,522766.0,0
SUMATERA UTARA,PERDESAANPERKOTAAN,MAKANAN,2018,554754.0,554754.0,0
SUMATERA UTARA,PERDESAANPERKOTAAN,MAKANAN,2019,576322.0,576322.0,0
SUMATERA UTARA,PERDESAANPERKOTAAN,MAKANAN,2020,598244.0,598244.0,0
SUMATERA UTARA,PERDESAANPERKOTAAN,MAKANAN,2021,607811.0,607811.0,0
SUMATERA UTARA,PERDESAANPERKOTAAN,MAKANAN,2022,663926.0,663926.0,1
SUMATERA UTARA,PERDESAANPERKOTAAN,NONMAKANAN,2011,248222.0,248222.0,0
SUMATERA UTARA,PERDESAANPERKOTAAN,NONMAKANAN,2012,254593.0,254593.0,0
SUMATERA UTARA,PERDESAANPERKOTAAN,NONMAKANAN,2013,292770.0,292770.0,0
SUMATERA UTARA,PERDESAANPERKOTAAN,NONMAKANAN,2014,300335.0,300335.0,0
SUMATERA UTARA,PERDESAANPERKOTAAN,NONMAKANAN,2015,360624.0,360624.0,0
SUMATERA UTARA,PERDESAANPERKOTAAN,NONMAKANAN,2016,381537.0,381537.0,0
SUMATERA UTARA,PERDESAANPERKOTAAN,NONMAKANAN,2017,387051.0,387051.0,0
SUMATERA UTARA,PERDESAANPERKOTAAN,NONMAKANAN,2018,446955.0,446955.0,0
SUMATERA UTARA,PERDESAANPERKOTAAN,NONMAKANAN,2019,487640.0,487640.0,0
SUMATERA UTARA,PERDESAANPERKOTAAN,NONMAKANAN,2020,526007.0,526007.0,0
SUMATERA UTARA,PERDESAANPERKOTAAN,NONMAKANAN,2021,534905.0,534905.0,0
SUMATERA UTARA,PERDESAANPERKOTAAN,NONMAKANAN,2022,552569.0,552569.0,0
SUMATERA UTARA,PERDESAANPERKOTAAN,TOTAL,2011,564565.0,564565.0,0
SUMATERA UTARA,PERDESAANPERKOTAAN,TOTAL,2012,599060.0,599060.0,0
SUMATERA UTARA,PERDESAANPERKOTAAN,TOTAL,2013,656133.0,656133.0,1
SUMATERA UTARA,PERDESAANPERKOTAAN,TOTAL,2014,699267.0,699267.0,1
SUMATERA UTARA,PERDESAANPERKOTAAN,TOTAL,2015,775189.0,775189.0,1
SUMATERA UTARA,PERDESAANPERKOTAAN,TOTAL,2016,853756.0,853756.0,1
SUMATERA UTARA,PERDESAANPERKOTAAN,TOTAL,2017,909817.0,909817.0,1
SUMATERA UTARA,PERDESAANPERKOTAAN,TOTAL,2018,1001709.0,1001709.0,1
SUMATERA UTARA,PERDESAANPERKOTAAN,TOTAL,2019,1063963.0,1063963.0,1
SUMATERA UTARA,PERDESAANPERKOTAAN,TOTAL,2020,1124252.0,1124252.0,1
SUMATERA UTARA,PERDESAANPERKOTAAN,TOTAL,2021,1142716.0,1142716.0,1
SUMATERA UTARA,PERDESAANPERKOTAAN,TOTAL,2022,1216496.0,1216496.0,1
SUMATERA BARAT,PERDESAAN,MAKANAN,2007,192079.0,192079.0,0
SUMATERA BARAT,PERDESAAN,MAKANAN,2008,212391.0,212391.0,0
SUMATERA BARAT,PERDESAAN,MAKANAN,2009,238274.0,238274.0,0
SUMATERA BARAT,PERDESAAN,MAKANAN,2010,280748.0,280748.0,0
SUMATERA BARAT,PERDESAAN,MAKANAN,2011,325893.0,325893.0,0
SUMATERA BARAT,PERDESAAN,MAKANAN,2012,370535.0,370535.0,0
SUMATERA BARAT,PERDESAAN,MAKANAN,2013,402070.0,402070.0,0
SUMATERA BARAT,PERDESAAN,MAKANAN,2014,423217.0,423217.0,0
SUMATERA BARAT,PERDESAAN,MAKANAN,2015,447944.0,447944.0,0
SUMATERA BARAT,PERDESAAN,MAKANAN,2016,505042.0,505042.0,0
SUMATERA BARAT,PERDESAAN,MAKANAN,2017,544680.0,544680.0,0
SUMATERA BARAT,PERDESAAN,MAKANAN,2018,558783.0,558783.0,0
SUMATERA BARAT,PERDESAAN,MAKANAN,2019,561206.0,561206.0,0
SUMATERA BARAT,PERDESAAN,MAKANAN,2020,597149.0,597149.0,0
SUMATERA BARAT,PERDESAAN,MAKANAN,2021,619721.0,619721.0,0
SUMATERA BARAT,PERDESAAN,MAKANAN,2022,677060.0,677060.0,1
SUMATERA BARAT,PERDESAAN,NONMAKANAN,2007,118393.0,118393.0,0
SUMATERA BARAT,PERDESAAN,NONMAKANAN,2008,131257.0,131257.0,0
SUMATERA BARAT,PERDESAAN,NONMAKANAN,2009,150515.0,150515.0,0
SUMATERA BARAT,PERDESAAN,NONMAKANAN,2010,178601.0,178601.0,0
SUMATERA BARAT,PERDESAAN,NONMAKANAN,2011,216984.0,216984.0,0
SUMATERA BARAT,PERDESAAN,NONMAKANAN,2012,210653.0,210653.0,0
SUMATERA BARAT,PERDESAAN,NONMAKANAN,2013,223409.0,223409.0,0
SUMATERA BARAT,PERDESAAN,NONMAKANAN,2014,252800.0,252800.0,0
SUMATERA BARAT,PERDESAAN,NONMAKANAN,2015,319143.0,319143.0,0
SUMATERA BARAT,PERDESAAN,NONMAKANAN,2016,334953.0,334953.0,0
SUMATERA BARAT,PERDESAAN,NONMAKANAN,2017,359478.0,359478.0,0
SUMATERA BARAT,PERDESAAN,NONMAKANAN,2018,416100.0,416100.0,0
SUMATERA BARAT,PERDESAAN,NONMAKANAN,2019,419508.0,419508.0,0
SUMATERA BARAT,PERDESAAN,NONMAKANAN,2020,445718.0,445718.0,0
SUMATERA BARAT,PERDESAAN,NONMAKANAN,2021,468281.0,468281.0,0
SUMATERA BARAT,PERDESAAN,NONMAKANAN,2022,477638.0,477638.0,0
SUMATERA BARAT,PERDESAAN,TOTAL,2007,310472.0,310472.0,0
SUMATERA BARAT,PERDESAAN,TOTAL,2008,343647.0,343647.0,0
SUMATERA BARAT,PERDESAAN,TOTAL,2009,388789.0,388789.0,0
SUMATERA BARAT,PERDESAAN,TOTAL,2010,459349.0,459349.0,0
SUMATERA BARAT,PERDESAAN,TOTAL,2011,542877.0,542877.0,0
SUMATERA BARAT,PERDESAAN,TOTAL,2012,581188.0,581188.0,0
SUMATERA BARAT,PERDESAAN,TOTAL,2013,625479.0,625479.0,0
SUMATERA BARAT,PERDESAAN,TOTAL,2014,676017.0,676017.0,1
SUMATERA BARAT,PERDESAAN,TOTAL,2015,767087.0,767087.0,1
SUMATERA BARAT,PERDESAAN,TOTAL,2016,839995.0,839995.0,1
SUMATERA BARAT,PERDESAAN,TOTAL,2017,904159.0,904159.0,1
SUMATERA BARAT,PERDESAAN,TOTAL,2018,974885.0,974885.0,1
SUMATERA BARAT,PERDESAAN,TOTAL,2019,980714.0,980714.0,1
SUMATERA BARAT,PERDESAAN,TOTAL,2020,1042868.0,1042868.0,1
SUMATERA BARAT,PERDESAAN,TOTAL,2021,1088003.0,1088003.0,1
SUMATERA BARAT,PERDESAAN,TOTAL,2022,1154698.0,1154698.0,1
SUMATERA BARAT,PERKOTAAN,MAKANAN,2007,252168.0,252168.0,0
SUMATERA BARAT,PERKOTAAN,MAKANAN,2008,263491.0,263491.0,0
SUMATERA BARAT,PERKOTAAN,MAKANAN,2009,299590.0,299590.0,0
SUMATERA BARAT,PERKOTAAN,MAKANAN,2010,344099.0,344099.0,0
SUMATERA BARAT,PERKOTAAN,MAKANAN,2011,409639.0,409639.0,0
SUMATERA BARAT,PERKOTAAN,MAKANAN,2012,423032.0,423032.0,0
SUMATERA BARAT,PERKOTAAN,MAKANAN,2013,447972.0,447972.0,0
SUMATERA BARAT,PERKOTAAN,MAKANAN,2014,521275.0,521275.0,0
SUMATERA BARAT,PERKOTAAN,MAKANAN,2015,509609.0,509609.0,0
SUMATERA BARAT,PERKOTAAN,MAKANAN,2016,583696.0,583696.0,0
SUMATERA BARAT,PERKOTAAN,MAKANAN,2017,639600.0,639600.0,0
SUMATERA BARAT,PERKOTAAN,MAKANAN,2018,663365.0,663365.0,1
SUMATERA BARAT,PERKOTAAN,MAKANAN,2019,663548.0,663548.0,1
SUMATERA BARAT,PERKOTAAN,MAKANAN,2020,698667.0,698667.0,1
SUMATERA BARAT,PERKOTAAN,MAKANAN,2021,718095.0,718095.0,1
SUMATERA BARAT,PERKOTAAN,MAKANAN,2022,756882.0,756882.0,1
SUMATERA BARAT,PERKOTAAN,NONMAKANAN,2007,256064.0,256064.0,0
SUMATERA BARAT,PERKOTAAN,NONMAKANAN,2008,250303.0,250303.0,0
SUMATERA BARAT,PERKOTAAN,NONMAKANAN,2009,285526.0,285526.0,0
SUMATERA BARAT,PERKOTAAN,NONMAKANAN,2010,326710.0,326710.0,0
SUMATERA BARAT,PERKOTAAN,NONMAKANAN,2011,384824.0,384824.0,0
SUMATERA BARAT,PERKOTAAN,NONMAKANAN,2012,416834.0,416834.0,0
SUMATERA BARAT,PERKOTAAN,NONMAKANAN,2013,519086.0,519086.0,0
SUMATERA BARAT,PERKOTAAN,NONMAKANAN,2014,506440.0,506440.0,0
SUMATERA BARAT,PERKOTAAN,NONMAKANAN,2015,578890.0,578890.0,0
SUMATERA BARAT,PERKOTAAN,NONMAKANAN,2016,610624.0,610624.0,0
SUMATERA BARAT,PERKOTAAN,NONMAKANAN,2017,625397.0,625397.0,0
SUMATERA BARAT,PERKOTAAN,NONMAKANAN,2018,705784.0,705784.0,1
